Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status,Retired Plant Inverse Distance,Future Transmission Inverse Distance
JEWELFLOWER STORAGE,1553,4/5/2019,ACTIVE,C12,Storage,,,Battery,,,354.88,,,350.0,,,,Full Capacity,,,Group 3,santa clara,CA,PGAE,Northern,Metcalf 230 kV,12/31/2022,3/27/2025,,NA,Complete,Complete,NA,,,,37.32594828194987,-121.9078442157786,6,85,1633.6501954042094,0,0.6108169255144239,0.10474315036927921
NOOSA ENERGY STORAGE,1557,4/15/2019,ACTIVE,C12,Storage,,,Battery,,,100,,,99.0,,,,Full Capacity,,,Group 3,san joaquin,CA,PGAE,Northern,Ripon 115 kV,12/16/2022,5/1/2025,,NA,Complete,Complete,NA,Executed,,,37.93475830667425,-121.31261933033679,6,77,1230.7029349182556,0,0.6400699321683343,0.15247792726947446
HYDASPES,1558,4/4/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,41.436,40.562,,40.0,,,,Energy Only,,Off-Peak Energy Only,Group 5,stanislaus,CA,PGAE,Northern,Miller #1 115 kV Line,12/31/2022,12/31/2022,,NA,Complete,Complete,NA,In Progress,,,37.605419035810044,-120.95712491497825,6,99,2390.3233966203643,0,0.06440050612506613,0.04903657777008698
DYNAMO SOLAR,1565,4/8/2019,ACTIVE,C12,Photovoltaic,,,Solar,,,24.5,,,24.5,,,,Full Capacity,,Off-Peak Deliverability,Group 3,napa,CA,PGAE,Northern,Tulucay 60 kV,6/30/2023,11/21/2025,,NA,Complete,Complete,NA,Executed,,,38.3393425974166,-122.31941069799646,6,55,2550.089235660329,1,0.13588751635286764,0.08990486622200097
AIR STATION 1,1568,4/16/2019,ACTIVE,C12,Photovoltaic,Storage,,Solar,Battery,,21.05,21.05,,40.0,,,,Energy Only,,Off-Peak Energy Only,Other,kings,CA,PGAE,Fresno,Henrietta-Lemoore NAS 70 kV,12/31/2021,12/31/2021,,NA,Complete,Complete,NA,In Progress,,,36.25910030687808,-119.7129659064498,6,31,2263.464515626488,0,0.1692927271778555,0.05823520770780565
ARCTURUS,1586,4/4/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,152.29,151.794,,150.0,,,,Energy Only,,Off-Peak Energy Only,Group 3,kern,CA,PGAE,Kern,Arco 230 kV,12/30/2022,11/3/2026,,NA,Complete,Complete,NA,Executed,,,35.360158393715125,-118.92926861229263,6,29,2357.849619553442,0,0.13461825477605177,0.0858696854419197
KINGSROAD HYBRID SOLAR,1587,4/16/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,101.78,101.78,,100.0,,,,Energy Only,,Off-Peak Energy Only,Group 2a,kern,CA,PGAE,Kern,Arco 230 kV,11/30/2023,12/25/2024,,NA,Complete,Complete,NA,Executed,,,35.3805661208939,-118.96463035344948,6,29,362.68831198521923,1,0.2252615607140717,0.1203583160582375
PELICANS JAW HYBRID SOLAR,1593,4/9/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,500,500,,500.0,,,,Partial Capacity,95.55,Off-Peak Energy Only,Group A,kings,CA,PGAE,Fresno,Gates-Midway 230 kV Line,11/30/2022,1/22/2028,,NA,Complete,Complete,NA,Executed,,,36.234371176813085,-119.71375806269513,6,31,2123.9134036806972,1,0.14179541262140088,0.05876301025170263
BUTTONBUSH SOLAR HYBRID ENERGY CENTER,1596,4/1/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,818,818,,800.0,,,,Full Capacity,,Off-Peak Deliverability,Group 3,kern,CA,PGAE,Kern,Midway 500 kV,11/1/2025,12/1/2026,,NA,Complete,Complete,NA,Executed,,,35.36625014543227,-118.93768758150787,6,29,2192.3194391905336,1,0.1538197816097909,0.0935252346134685
ARATINA SOLAR CENTER 2,1604,4/1/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,200,200,,200.0,,,,Full Capacity,,Off-Peak Deliverability,Group 1a,kern,CA,SCE,NOL,Kramer Substation 230kV,6/1/2022,1/15/2025,,NA,Complete,Complete,NA,Executed,Kramer,Kramer,34.98947998,-117.542396,6,29,2019.1695041721293,0,0.44130358090449273,0.017957980691558077
AVOCET STORAGE,1608,4/1/2019,ACTIVE,C12,Storage,,,Battery,,,200,,,200.0,,,,Full Capacity,,,Group 2,los angeles,CA,SCE,Metro,Hinson Substation 230kV,6/30/2023,9/1/2024,,NA,Complete,Complete,NA,Executed,Hinson,Hinson,33.81926898,-118.222539,6,37,1064.865586919957,1,0.34701650183052274,0.053389510886629785
COMMERCE ENERGY STORAGE,1611,4/9/2019,ACTIVE,C12,Storage,,,Battery,,,250,,,250.0,,,,Full Capacity,,,Group 3,los angeles,CA,SCE,Metro,Laguna Bell Substation 230kV,1/1/2023,6/1/2025,,NA,Complete,Complete,NA,Executed,Laguna Bell,Laguna Bell,33.97589882,-118.1478739,6,37,1042.5413558042126,1,0.6517405464328739,
KESTREL STORAGE,1615,4/1/2019,ACTIVE,C12,Storage,,,Battery,,,200,,,200.0,,,,Full Capacity,,,Group 3,los angeles,CA,SCE,Metro,Walnut Substation 220kV,6/30/2023,5/31/2025,,NA,Complete,Complete,NA,Executed,Walnut,Walnut,34.00827064,-117.9499278,6,37,2151.407088726107,1,0.4028254566950284,0.06603817945889351
LOCKHART SOLAR 2,1617,4/5/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,73.26,82.43424,,150.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2a,san bernardino,CA,SCE,NOL,Kramer Substation 230kV,12/1/2022,9/1/2023,,NA,Complete,Complete,NA,Executed,Kramer,Kramer,34.98947998,-117.542396,6,71,1803.3532016757176,0,0.44130358090449273,0.017957980691558077
GOLDBACK SOLAR CENTER,1619,4/12/2019,ACTIVE,C12,Storage,,,Battery,,,500,,,500.0,,,,Full Capacity,,Off-Peak Deliverability,Group 3,ventura,CA,SCE,Northern,Moorpark Substation 230 kV,6/1/2023,3/31/2026,,NA,Complete,Complete,NA,Executed,Moorpark,Moorpark,34.28092761,-118.9030066,6,111,1553.6996714741458,1,0.10670435147803053,0.029188820421092776
ANGELENO SOLAR FARM,1625,3/31/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,1150,1150,,1150.0,,,,Full Capacity,,Off-Peak Deliverability,Group 3,los angeles,CA,SCE,Northern,Vincent Substation 500kV,6/1/2023,4/1/2026,,NA,Complete,Complete,NA,Executed,Vincent,Vincent,34.48596597,-118.1184808,6,37,1704.2770709986346,0,0.03656127071827804,0.023316840873773073
HUMIDOR STORAGE 1,1629,4/11/2019,ACTIVE,C12,Storage,,,Battery,,,305,,,300.0,,,,Full Capacity,,,Group 3,los angeles,CA,SCE,Northern,Vincent Substation 230 kV,12/1/2021,11/15/2023,,NA,Complete,Complete,NA,Executed,Vincent,Vincent,34.48596597,-118.1184808,6,37,1092.2425310831225,1,0.03656127071827804,0.023316840873773073
BELLEFIELD 2 SOLAR FARM,1631,4/1/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,500,500,,500.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2a,kern,CA,SCE,Northern,Windhub Substation 220kV,10/1/2022,9/1/2024,,NA,Complete,Complete,NA,Executed,Windhub,Windhub,35.03484956,-118.2806898,6,29,882.1408280839303,1,1.0502584294611754,0.01573197693051613
SANBORN HYBRID 3,1632,4/5/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,671.55,778.5456,,1400.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2,kern,CA,SCE,Northern,Windhub Substation 500kV,12/1/2023,3/15/2025,,NA,Complete,Complete,NA,Executed,Windhub,Windhub,35.03484956,-118.2806898,6,29,2656.834331166675,0,1.0502584294611754,0.01573197693051613
CALYPSO SOLAR,1636,4/4/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,400,400,,400.0,,,,Energy Only,,Off-Peak Energy Only,Group D,riverside,CA,SCE,Eastern,Colorado River Substation 230kV,12/1/2023,12/28/2030,,NA,Complete,Complete,NA,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,753.8790117443621,1,0.010618442225589738,
RAMPA,1641,4/5/2019,ACTIVE,C12,Storage,,,Battery,,,100.98,,,100.0,,,,Full Capacity,,,Group 3,san bernardino,CA,SCE,Eastern,Etiwanda Substation 230kV,12/31/2022,11/15/2023,,NA,Complete,Complete,NA,Executed,Etiwanda,Etiwanda,34.08917006,-117.5270465,6,71,1623.3792663133825,0,4.920976102849549,0.10373794739449299
OBERON,1642,4/2/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,518.4,518.4,,500.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2a,riverside,CA,SCE,Eastern,Red Bluff Substation 500kV,12/31/2022,12/31/2024,,NA,Complete,Complete,NA,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,1284.6078172672028,0,0.03521596681254858,
LYCAN SOLAR,1643,4/4/2019,ACTIVE,C12,Photovoltaic,Storage,,Solar,Battery,,400,400,,400.0,,,,Energy Only,,Off-Peak Energy Only,Group B,riverside,CA,SCE,Eastern,Red Bluff Substation 500kV,12/1/2023,4/1/2030,,NA,Complete,Complete,NA,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,829.1377070290542,0,0.03521596681254858,
MENIFEE POWER BANK,1645,4/10/2019,ACTIVE,C12,Storage,,,Battery,,,680,,,680.0,,,,Full Capacity,,,Other,riverside,CA,SCE,Eastern,Valley Substation 500kV,12/1/2022,10/1/2025,,NA,Complete,Complete,NA,Executed,Valley,Valley,32.75930406,-115.5340356,6,65,2044.8006739818181,0,0.06175682477742763,0.08991498067613451
DOUBLE BUTTE STORAGE,1646,4/5/2019,ACTIVE,C12,Storage,,,Battery,,,507.6,,,500.0,,,,Energy Only,,,Group D,riverside,CA,SCE,Eastern,Valley Substation 500 kV,12/31/2022,6/1/2027,,NA,Complete,Complete,NA,In Progress,Valley,Valley,32.75930406,-115.5340356,6,65,1331.7565800962698,1,0.06175682477742763,0.08991498067613451
SANDPIPER STORAGE,1657,4/2/2019,ACTIVE,C12,Storage,,,Battery,,,200,,,200.0,,,,Partial Capacity,50,,Group 2a,orange,CA,SDGE,,Talega Substation 138 kV,6/30/2023,3/15/2025,,NA,Complete,Complete,NA,Executed,Talega,Talega,33.45311242,-117.5714535,6,59,1351.3717502445975,1,0.1053774985815485,0.1934523249452757
VENTASSO ENERGY STORAGE,1662,4/6/2019,ACTIVE,C12,Storage,,,Battery,,,50.774,,,50.0,,,,Full Capacity,,,Group 3,san diego,CA,SDGE,,El Cajon Substation 69 kV,11/30/2022,7/8/2024,,NA,Complete,Complete,NA,Executed,El Cajon,El Cajon,32.79545548,-116.9722854,6,73,2860.421366512817,1,23.33947946264779,0.07653501376426625
KINGSLEY SOLAR FARM,1665,4/1/2019,ACTIVE,C12,Storage,Photovoltaic,,Battery,Solar,,360,360,,360.0,,,,Energy Only,,Off-Peak Deliverability,Group D,imperial,CA,SDGE,,Imperial Valley Substation 230 kV,6/1/2023,7/11/2028,,NA,Complete,Complete,NA,,Imperial Valley,Imperial Valley,32.85615594,-115.5637445,6,25,517.0862742209005,1,0.13998865999372342,
SUNRISE BUTTE,1667,4/12/2019,ACTIVE,C12,Photovoltaic,Storage,,Solar,Battery,,0,150,,150.0,,,,Energy Only,,Off-Peak Deliverability,Group 3,imperial,CA,SDGE,,Imperial Valley Substation 230 kV,12/31/2022,4/29/2029,,NA,Complete,Complete,NA,,Imperial Valley,Imperial Valley,32.85615594,-115.5637445,6,25,2363.474001999745,0,0.13998865999372342,
POME BESS,1669,4/13/2019,ACTIVE,C12,Storage,,,Battery,,,101.5,,,100.0,,,,Full Capacity,,,Group 3,san diego,CA,SDGE,,Pomerado Substation 69 kV,5/31/2023,7/27/2024,,NA,Complete,Complete,NA,Executed,Pomerado,Pomerado,32.94142222,-117.0327306,6,73,2912.3243288598537,1,0.1526402177599894,0.04554827552988522
PEREGRINE STORAGE,1670,4/1/2019,ACTIVE,C12,Storage,,,Battery,,,200,,,200.0,,,,Full Capacity,,,Group 2,san diego,CA,SDGE,,Silvergate Substation 230 kV,6/30/2023,5/1/2024,,NA,Complete,Complete,NA,Executed,Silvergate,Silvergate,32.69488244,-117.1432682,6,73,912.6997637839531,1,0.3845336248175301,
MARINE DEPOT,1671,4/16/2019,ACTIVE,C12,Storage,,,Battery,,,26.6,,,25.0,,,,Energy Only,,,Other,san diego,CA,SDGE,,Point Loma Substation 69 kV,12/31/2021,9/1/2022,,NA,Complete,Complete,NA,,Point Loma,Point Loma,32.74148888,-117.2334,6,73,1611.807220587508,1,0.42711138179806046,0.10103725846518334
NIGHTHAWK STORAGE,1673,4/2/2019,ACTIVE,C12,Storage,,,Battery,,,300,,,300.0,,,,Full Capacity,,,Group 2,san diego,CA,SDGE,,Sycamore Canyon Substation 138 kV,6/30/2023,2/28/2024,,NA,Complete,Complete,NA,Executed,Sycamore Canyon,Sycamore Canyon,32.91739861,-117.0311276,6,73,453.9262103894132,1,0.11356497957462318,0.04078706248408915
AQUEDUCT ENERGY STORAGE,1683,4/15/2020,ACTIVE,C13,Storage,,,Battery,,,102.25,,,100.0,,,,Energy Only,,Off-Peak Deliverability,Group D,contra costa,CA,PGAE,Northern,Contra Costa-Delta 230 kV Line,12/31/2023,4/30/2026,,NA,Complete,Complete,NA,,,,37.92995998961828,-122.03262017636823,6,13,249.9870491325429,1,0.1890153437025609,0.059454363888879196
CONAWAY HYBRID POWER PLANT,1687,4/8/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,84.8117,84.9957,,80.0,,,,Energy Only,,Off-Peak Deliverability,Other,yolo,CA,PGAE,Northern,Woodland-Davis 115 kV Line,1/1/2023,1/1/2023,,NA,Complete,Complete,NA,,,,38.619256456589596,-121.70753699690367,6,113,251.66770701512004,0,0.32344012565850644,0.029688209678316327
CROSSROADS STORAGE,1688,4/15/2020,ACTIVE,C13,Storage,,,Battery,,,312.96,,,299.99,,,,Energy Only,,,Group D,shasta,CA,PGAE,Northern,Round Mountain 230 kV,11/30/2024,4/1/2027,,NA,Complete,Complete,NA,,,,40.57316194624547,-122.28184968034003,6,89,855.4820275616248,0,0.08513108986594423,0.10165847903330362
DENALI ENERGY STORAGE,1690,4/14/2020,ACTIVE,C13,Storage,,,Battery,,,102,,,101.2,,,,Partial Capacity,92,,Group D,san joaquin,CA,PGAE,Northern,Vierra 115 kV,6/15/2023,6/1/2026,,NA,Complete,Complete,NA,,,,37.94578698293827,-121.3092847914899,6,77,2696.6347672902402,1,0.5772473471629936,0.14915493854681078
FORTIS,1691,4/9/2020,ACTIVE,C13,Wind Turbine,Storage,Photovoltaic,Wind Turbine,Battery,Solar,207.2,203.94,205.02,200.0,,,,Energy Only,,Off-Peak Deliverability,Group D,solano,CA,PGAE,Northern,Birds Landing 230 kV,12/15/2024,2/11/2028,,NA,Complete,Complete,NA,In Progress,,,38.21130166192461,-122.07743293584777,6,95,252.19085609224248,1,0.055370888153228215,0.05837820548540564
MEADOWS ENERGY STORAGE,1695,4/14/2020,ACTIVE,C13,Storage,,,Battery,,,102,,,101.2,,,,Energy Only,,,Group D,placer,CA,PGAE,Northern,Atlantic 60 kV,6/15/2023,1/29/2025,,NA,Complete,Complete,NA,,,,38.835741687590414,-121.17712702556715,6,61,1162.6694327341506,0,0.025362292845656532,0.17813493700555683
NORTH BAY ENERGY STORAGE,1700,4/14/2020,ACTIVE,C13,Storage,,,Battery,,,102.75,,,100.0,,,,Energy Only,,,Group B,sonoma,CA,PGAE,Northern,Lakeville 60 kV,6/1/2023,3/18/2027,,NA,Complete,Complete,NA,Executed,,,38.4323937849848,-122.69832268857857,6,97,1306.3141176151103,1,0.22797969754574288,0.044255668214178326
POTENTIA-VIRIDI,1702,4/13/2020,ACTIVE,C13,Wind Turbine,Photovoltaic,Storage,Wind Turbine,Solar,Battery,408.8,410.04,405.9,400.0,,,,Full Capacity,,Off-Peak Deliverability,Group 3,san joaquin,CA,PGAE,Northern,Tesla 500 kV,12/15/2024,5/11/2028,,NA,Complete,Complete,NA,Executed,,,37.92614966633579,-121.31030693202979,6,77,1968.5740289012435,1,0.43094113534316975,0.1617409775009471
STEEL CITY BATTERY STORAGE,1705,4/15/2020,ACTIVE,C13,Storage,,,Battery,,,675,,,220.0,,,,Energy Only,,,Group 3,contra costa,CA,PGAE,Northern,Pittsburg 230 kV,6/30/2025,3/1/2029,,NA,Complete,Complete,NA,Executed,,,37.91698608946868,-122.00063299067796,6,13,414.6044461582489,1,0.12411978283454933,0.06197034286422067
ROSEMARY,1709,4/10/2020,ACTIVE,C13,Photovoltaic,Storage,,Solar,Battery,,36.1746,36.1746,,35.0,,,,Full Capacity,,Off-Peak Deliverability,Group D,fresno,CA,PGAE,Northern,Crescent 70 kV,12/1/2023,1/10/2026,,NA,Complete,Complete,NA,In Progress,,,36.7287997275146,-119.74279930419857,6,19,1917.6120965464918,0,0.019324057291104278,0.05042961138883545
LEAD,1713,4/15/2020,ACTIVE,C13,Storage,,,Battery,,,32.7,,,32.0,,,,Full Capacity,,,Group B,kings,CA,PGAE,Fresno,GWF Hanford 115 kV,8/1/2023,6/1/2024,,NA,Complete,Complete,NA,Executed,,,36.27120248397378,-119.72767415234608,6,31,2878.795492742609,1,0.1406518460137765,0.06219614722828509
GONZAGA HYBRID,1718,4/14/2020,ACTIVE,C13,Storage,Wind Turbine,,Battery,Wind Turbine,,54.94,60.45,,103.65,,,,Full Capacity,,Off-Peak Deliverability,Group B,merced,CA,PGAE,Fresno,Los Banos 70 kV,7/1/2024,5/14/2026,,NA,Complete,Complete,NA,Executed,,,37.25668647473534,-120.64741630799324,6,47,1155.461423098413,1,0.08492162825190194,0.04619899658737483
ZETA,1728,4/10/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,77.4774,77.4774,,75.0,,,,Full Capacity,,Off-Peak Deliverability,Group B,merced,CA,PGAE,Fresno,Mercy Springs 70 kV,12/1/2023,5/26/2027,,NA,Complete,Complete,NA,Executed,,,37.299578749914076,-120.6494092587013,6,47,215.55712615698343,1,0.14035579552732372,0.04664526141633676
HAWKINS SOLAR HYBRID,1736,4/1/2020,ACTIVE,C13,Photovoltaic,Storage,,Solar,Battery,,250,250,,250.0,,,,Partial Capacity,76.75,Off-Peak Deliverability,Group D,kern,CA,PGAE,Kern,Arco 230 kV,4/1/2024,5/1/2027,,NA,Complete,Complete,NA,In Progress,,,35.35025133137225,-118.95105334802997,6,29,2724.6540254094716,1,0.12651607516759397,0.08409140422388311
PECHO ENERGY STORAGE,1739,4/15/2020,ACTIVE,C13,Storage,Other,,Battery,Other,,108,520,,500.0,,,,Partial Capacity,92.98,Off-Peak Deliverability,Group B,san luis obispo,CA,PGAE,Kern,Morro Bay 230 kV,6/1/2023,3/31/2028,,NA,Complete,Complete,NA,In Progress,,,35.317738836645646,-120.67991893430862,6,79,432.77019190683944,0,0.05830053287513938,0.01378811693630948
PUFF HYBRID SOLAR,1740,4/14/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,101.8,101.8,,100.0,,,,Full Capacity,,Off-Peak Deliverability,Group D,kern,CA,PGAE,Kern,Arco 230 kV,11/30/2024,11/30/2024,,NA,Complete,Complete,NA,,,,35.362510985649635,-118.93229274557731,6,29,326.6202829052835,0,0.14132850140974434,0.08860838276789657
CRYSTAL FLATS,1744,4/2/2020,ACTIVE,C13,Solar Thermal,Storage,,Solar,Battery,,103.455,51.401,,100.0,,,,Energy Only,,Off-Peak Deliverability,Group D,kern,CA,PGAE,Kern,Lamont 115 kV,10/31/2023,12/26/2030,,NA,Complete,Complete,NA,Executed,,,35.38411322092858,-118.92181495699829,6,29,622.2994411854767,1,0.17873900235611487,0.10201875121031634
SUNRISE POWER IMPROVEMENT,1745,4/6/2020,ACTIVE,C13,Combined Cycle,,,Natural Gas,,,655.7,,,35.0,,,,Energy Only,,,Other,kern,CA,PGAE,Kern,Midway 230 kV,6/1/2023,5/11/2024,,NA,Complete,Complete,NA,,,,35.34677742988466,-118.95828721277219,6,29,2961.086283318998,1,0.12172137293115877,0.08273776196840577
WHALE ROCK ENERGY,1749,4/13/2020,ACTIVE,C13,Photovoltaic,Storage,Wind Turbine,Solar,Battery,Wind Turbine,100.64,53.68,210,299.65,,,,Energy Only,,Off-Peak Deliverability,Group 3,san luis obispo,CA,PGAE,Kern,Caliente 230 kV,12/31/2024,8/10/2027,,NA,Complete,Complete,NA,In Progress,,,35.345614317856054,-120.65135549675792,6,79,1689.018156865108,1,0.052981466983537194,0.014554659500067652
WINDWALKER OFFSHORE,1750,4/11/2020,ACTIVE,C13,Wind Turbine,,,Wind Turbine,,,1028.94,,,1000.0,,,,Full Capacity,,Off-Peak Deliverability,Group 3,san luis obispo,CA,PGAE,Kern,Diablo Canyon 500 kV,3/31/2027,2/12/2028,,NA,Complete,Complete,NA,Executed,,,35.35792047106859,-120.6409569923439,6,79,1681.465334793999,0,0.05089182647544139,0.014880392949028372
WINSTON HYBRID PV AND BESS,1751,4/8/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,102,204,,200.0,,,,Full Capacity,,Off-Peak Deliverability,Group A,kern,CA,PGAE,Kern,Midway 115 kV,3/1/2025,12/10/2028,,NA,Complete,Complete,NA,In Progress,,,35.34905971855092,-118.9618027615275,6,29,2634.2065788954856,0,0.12584519645561132,0.08499129109591781
COBALT,1757,4/11/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,256.202,256.41,,250.0,,,,Energy Only,,Off-Peak Deliverability,Group 3,riverside,CA,SCE,Eastern,Colorado River Substation 220kV,10/31/2023,10/30/2025,,NA,Complete,Complete,NA,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,800.1360610873969,0,0.010618442225589738,
DESERT SANDS,1758,4/15/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,312.96,312.96,,300.0,,,,Energy Only,,Off-Peak Deliverability,Group D,riverside,CA,SCE,Eastern,Devers Substation 230kV,11/30/2024,4/1/2025,,NA,Complete,Complete,NA,,Devers,Devers,33.93691612,-116.5773269,6,65,269.8737374567937,0,1.1957785203972955,
GRACE ENERGY CENTER,1761,4/14/2020,ACTIVE,C13,Photovoltaic,Storage,,Solar,Battery,,508.56,508.56,,500.0,,,,Energy Only,,Off-Peak Deliverability,Group B,riverside,CA,SCE,Eastern,Colorado River Substation 230kV,11/30/2024,6/1/2026,,NA,Complete,Complete,NA,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,1794.429713470571,0,0.010618442225589738,
PORTA,1763,4/9/2020,ACTIVE,C13,Storage,Photovoltaic,Wind Turbine,Battery,Solar,Wind Turbine,204.16,203.76,207.2,200.0,,,,Energy Only,,Off-Peak Deliverability,Group B,riverside,CA,SCE,Eastern,DEVERS SUBSTATION 220kV,12/15/2024,1/31/2029,,NA,Complete,Complete,NA,,,,33.79486357704166,-117.07077349659978,6,65,2221.071483723538,1,0.09039899519532602,0.030964020742597444
SAPPHIRE SOLAR,1764,4/7/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,117,126.2907,,117.0,,,,Energy Only,,Off-Peak Deliverability,Group A,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/1/2024,12/1/2025,,NA,Complete,Complete,NA,,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,2972.900373398064,1,0.03521596681254858,
COMMERCE ENERGY STORAGE 2,1766,4/14/2020,ACTIVE,C13,Storage,,,Battery,,,250,,,250.0,,,,Full Capacity,,,Group 3,los angeles,CA,SCE,Metro,Laguna Bell Substation 230kV,12/1/2023,3/15/2026,,NA,Complete,Complete,NA,,Laguna Bell,Laguna Bell,33.97589882,-118.1478739,6,37,2218.169017553031,0,0.6517405464328739,
ROADHOUSE STORAGE,1768,4/15/2020,ACTIVE,C13,Storage,,,Battery,,,312.96,,,300.0,,,,Full Capacity,,,Group 3,san bernardino,CA,SCE,Metro,Mira Loma Substation 230kV,11/30/2024,12/1/2025,,NA,Complete,Complete,NA,Executed,Mira Loma,Mira Loma,34.00817989,-117.5643636,6,71,2399.685187478407,1,0.3133257286239805,
OVERNIGHT SOLAR,1774,4/9/2020,ACTIVE,C13,Photovoltaic,Storage,,Solar,Battery,,150,150,,150.0,,,,Energy Only,,Off-Peak Deliverability,Group B,san bernardino,CA,SCE,NOL,Kramer Substation 230kV,10/31/2024,3/15/2025,,NA,Complete,Complete,NA,In Progress,Kramer,Kramer,34.98947998,-117.542396,6,71,2221.348555794668,1,0.44130358090449273,0.017957980691558077
SEGS EXPANSION 2 HYBRID,1775,4/11/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,54.59142,54.59142,,100.0,,,,Partial Capacity,58,Off-Peak Deliverability,Group B,san bernardino,CA,SCE,NOL,Kramer Junction Substation 230kV,12/15/2023,9/1/2023,,NA,Complete,Complete,NA,Executed,Kramer Junction,,34.20408143269055,-117.34733591947497,6,71,1308.9145062391708,1,0.09949449960706287,0.05855945000654198
VENTOSO,1776,4/11/2020,ACTIVE,C13,Wind Turbine,Photovoltaic,Storage,Wind Turbine,Solar,Battery,212.18,206.59,204.16,200.0,,,,Energy Only,,Off-Peak Deliverability,Group D,san bernardino,CA,SCE,NOL,COOLWATER SUBSTATION 115kV,12/15/2024,10/1/2027,,NA,Complete,Complete,NA,Executed,,,34.19529993741335,-117.38452494547896,6,71,566.3906236713503,1,0.14148900824712554,0.05511356152579012
BELLEFIELD 3 SOLAR FARM,1779,4/1/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,150,150,,150.0,,,,Energy Only,,Off-Peak Deliverability,Group D,kern,CA,SCE,Northern,Windhub Substation 230kV,4/1/2023,4/1/2027,,NA,Complete,Complete,NA,Executed,Windhub,Windhub,35.03484956,-118.2806898,6,29,647.7815918114685,1,1.0502584294611754,0.01573197693051613
WILLOW ROCK ENERGY STORAGE,1782,4/15/2020,ACTIVE,C13,Storage,Other,,Battery,Other,,108,512,,500.0,,,,Full Capacity,,Off-Peak Deliverability,Group 3,kern,CA,SCE,Northern,Whirlwind Substation 230kV,6/1/2023,3/31/2028,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,2998.106448796293,1,0.04532432027837859,0.020569484251498363
SHOALS ENERGY STORAGE,1783,4/15/2020,ACTIVE,C13,Storage,,,Battery,,,409,,,400.0,,,,Full Capacity,,,Other,ventura,CA,SCE,Northern,Mandalay Switchyard 220kV,7/1/2023,7/15/2026,,NA,Complete,Complete,NA,,,,34.24038734161307,-119.01758590684425,6,111,1086.389859709192,1,0.05605209017077997,0.0219139564449235
